package,object,role,type
metafor,dat.bourassa1996,Studies on the Association between Handedness and...,data
metafor,dat.colditz1994,Studies on the Effectiveness of the BCG Vaccine Against...,data
metafor,dat.collins1985a,Studies on the Treatment of Upper Gastrointestinal Bleeding...,data
metafor,dat.collins1985b,Studies on the Effects of Diuretics in Pregnancy,data
metafor,dat.curtis1998,Studies on the Effects of Elevated CO2 Levels on Woody Plant...,data
metafor,dat.debruin2009,Studies on Standard Care Quality and HAART-Adherence,data
metafor,dat.egger2001,Studies on the Effectiveness of Intravenous Magnesium in...,data
metafor,dat.fine1993,Studies on Radiation Therapy with or without Adjuvant...,data
metafor,dat.gibson2002,Studies on the Effectiveness of Self-Management Education and...,data
metafor,dat.hackshaw1998,Studies on Lung Cancer Risk from ETS Exposure,data
metafor,dat.hart1999,Studies on the Effectiveness of Warfarin for Preventing...,data
metafor,dat.hasselblad1998,Studies on the Effectiveness of Counseling for Smoking...,data
metafor,dat.hine1989,Studies on Prophylactic Use of Lidocaine After a Heart Attack,data
metafor,dat.ishak2007,Studies on Deep-Brain Stimulation,data
metafor,dat.konstantopoulos2011,Studies on the Effects of Modified School Calendars on...,data
metafor,dat.laopaiboon2015,Studies on the Effectiveness of Azithromycin for Treating...,data
metafor,dat.lee2004,Studies on Acupoint P6 Stimulation for Preventing Nausea,data
metafor,dat.li2007,Studies on the Effectiveness of Intravenous Magnesium in...,data
metafor,dat.linde2005,Studies on the Effectiveness of St. John's Wort for Treating...,data
metafor,dat.mcdaniel1994,Studies on the Validity of Employment Interviews,data
metafor,dat.molloy2014,Studies on the Relationship between Conscientiousness and...,data
metafor,dat.nielweise2007,Studies on Anti-Infective-Treated Central Venous Catheters...,data
metafor,dat.nielweise2008,Studies on Anti-Infective-Treated Central Venous Catheters...,data
metafor,dat.normand1999,Studies on the Length of Hospital Stay of Stroke Patients,data
metafor,dat.pagliaro1992,Studies on the Effectiveness of Nonsurgical Treatments in...,data
metafor,dat.pignon2000,Studies on the Effectiveness of Locoregional Treatment plus...,data
metafor,dat.pritz1997,Studies on the Effectiveness of Hyperdynamic Therapy for...,data
metafor,dat.raudenbush1985,Studies on Assessing the Effects of Teacher Expectations on...,data
metafor,dat.riley2003,Studies on MYC-N as a Prognostic Marker for Neuroblastoma,data
metafor,dat.senn2013,Studies on the Effectiveness of Glucose-Lowering Agents,data
metafor,dat.yusuf1985,Studies of Beta Blockers During and After Myocardial...,data
metafor,addpoly,Add Polygons to Forest Plots,function
metafor,addpoly.default,Add Polygons to Forest Plots (Default Method),function
metafor,addpoly.rma,Add Polygons to Forest Plots (Method for 'rma' Objects),function
metafor,anova.rma,Likelihood Ratio and Wald-Type Tests for 'rma' Objects,function
metafor,baujat,Baujat Plots for 'rma' Objects,function
metafor,bldiag,Construct Block Diagonal Matrix,function
metafor,blup,Best Linear Unbiased Predictions for 'rma.uni' Objects,function
metafor,coef.permutest.rma.uni,Extract the Model Coefficient Table from 'permutest.rma.uni'...,function
metafor,coef.rma,Extract the Model Coefficients and Coefficient Table from...,function
metafor,confint.rma,Confidence Intervals for 'rma' Objects,function
metafor,cumul,Cumulative Meta-Analysis for 'rma' Objects,function
metafor,escalc,Calculate Effect Sizes and Outcome Measures,function
metafor,fitstats,Fit Statistics and Information Criteria for 'rma' Objects,function
metafor,fitted.rma,Fitted Values for 'rma' Objects,function
metafor,forest,Forest Plots,function
metafor,forest.cumul.rma,Forest Plots (Method for 'cumul.rma' Objects),function
metafor,forest.default,Forest Plots (Default Method),function
metafor,forest.rma,Forest Plots (Method for 'rma' Objects),function
metafor,fsn,Fail-Safe N Analysis (File Drawer Analysis),function
metafor,funnel,Funnel Plots,function
metafor,gosh,GOSH Plots for 'rma' Objects,function
metafor,hc,Meta-Analysis based on the Method by Henmi and Copas (2010),function
metafor,influence.rma.mv,Outlier and Influential Case Diagnostics for 'rma.mv' Objects,function
metafor,influence.rma.uni,Outlier and Influential Case Diagnostics for 'rma.uni'...,function
metafor,labbe,L'Abbe Plots for 'rma' Objects,function
metafor,leave1out,Leave-One-Out Diagnostics for 'rma' Objects,function
metafor,llplot,Likelihood Plot of a Parameter Corresponding to an Effect...,function
metafor,metafor.news,Read News File of the Metafor Package,function
metafor,metafor-package,metafor: A Meta-Analysis Package for R,function
metafor,methods.escalc,Methods for 'escalc' Objects,function
metafor,methods.list.rma,Methods for 'list.rma' Objects,function
metafor,model.matrix.rma,Model Matrix for 'rma' Objects,function
metafor,permutest,Permutation Tests for 'rma.uni' Objects,function
metafor,plot.cumul.rma,Plot Method for 'cumul.rma' Objects,function
metafor,plot.gosh.rma,Plot Method for 'gosh.rma' Objects,function
metafor,plot.infl.rma.uni,Plot Method for 'infl.rma.uni' Objects,function
metafor,plot.rma,Plot Method for 'rma' Objects,function
metafor,predict.rma,Predicted Values for 'rma' Objects,function
metafor,print.anova.rma,Print Method for 'anova.rma' Objects,function
metafor,print.confint.rma,Print Methods for 'confint.rma' and 'list.confint.rma'...,function
metafor,print.escalc,Print and Summary Methods for 'escalc' Objects,function
metafor,print.fsn,Print Method for 'fsn' Objects,function
metafor,print.gosh.rma,Print Method for 'gosh.rma' Objects,function
metafor,print.hc.rma.uni,Print Method for 'hc.rma.uni' Objects,function
metafor,print.list.rma,Print method for 'list.rma' Objects,function
metafor,print.permutest.rma.uni,Print Method for 'permutest.rma.uni' Objects,function
metafor,print.ranktest.rma,Print Method for 'ranktest.rma' Objects,function
metafor,print.regtest.rma,Print Method for 'regtest.rma' Objects,function
metafor,print.rma,Print and Summary Methods for 'rma' Objects,function
metafor,print.robust.rma,Print Method for 'robust.rma' Objects,function
metafor,profile.rma,Profile Plots for 'rma' Objects,function
metafor,qqnorm.rma,Normal QQ Plots for 'rma' Objects,function
metafor,radial,Radial (Galbraith) Plots for 'rma' Objects,function
metafor,ranef,Best Linear Unbiased Predictions for 'rma.uni' and 'rma.mv'...,function
metafor,ranktest,Rank Correlation Test for Funnel Plot Asymmetry,function
metafor,regtest,Regression Test for Funnel Plot Asymmetry,function
metafor,replmiss,Replace Missing Values in a Vector,function
metafor,reporter,Dynamically Generated Analysis Reports for 'rma.uni' Objects,function
metafor,residuals.rma,Residual Values based on 'rma' Objects,function
metafor,rma.glmm,Meta-Analysis via Generalized Linear (Mixed-Effects) Models,function
metafor,rma.mh,Meta-Analysis via the Mantel-Haenszel Method,function
metafor,rma.mv,Meta-Analysis via Multivariate/Multilevel Linear...,function
metafor,rma.peto,Meta-Analysis via Peto's Method,function
metafor,rma.uni,Meta-Analysis via Linear (Mixed-Effects) Models,function
metafor,robust,(Cluster) Robust Tests and Confidence Intervals for 'rma'...,function
metafor,simulate.rma,Simulate Method for 'rma' Objects,function
metafor,to.long,Convert Data from Vector to Long Format,function
metafor,to.table,Convert Data from Vector to Table Format,function
metafor,transf,Transformation Function,function
metafor,trimfill,Trim and Fill Analysis for 'rma.uni' Objects,function
metafor,update.rma,Model Updating for 'rma' Objects,function
metafor,vcov.rma,Extract Various Types of Variance-Covariance Matrices from...,function
metafor,vif,Variance Inflation Factors for 'rma' Objects,function
metafor,weights.rma,Compute Weights for 'rma' Objects,function
